originLocationCode,destinationLocationCode
MAD,ATH
YYC,BOS
SIP,NYM
LAS,BFL
MXP,AMS
BOD,AMS
JER,BFS
ETZ,CMN
NDJ,CAI
GDL,SJC
GRU,ARU
JFK,GUA
PRG,ROM
DUB,JER
FLR,LON
SID,BVC
NCE,LBA
BZN,DTT
SFO,SQL
CTS,HKG
DTW,STE
ATL,ORL
ITM,SDJ
FUE,STR
SNA,SEA
MDW,OMA
MAA,VTZ
DTM,OPO
